ID,ItemName,ItemAbility,ItemDescription,ItemSpriteName,ItemTpye,Rate,Countable,ItemCount,Hp,AttackDamage,Defense,CriticalDamage,CriticalRate,Attribute,UpHp,UpDamage,UpDefense,UpCD,UpCR,Ability,AbilityValue,AbilityTurn,UpAbilityValue
1,모음,마법서를 조합할때 사용할 수 있다.,혀의 방해없이 발음되는 소리.,Vowel_Image,ETC,1,TRUE,1,0,0,0,0,0,Nothing,0,0,0,0,0,None,0,0,0
2,자음,마법서를 조합할때 사용할 수 있다.,혀가 어디에 닿아 발음되는 소리.,Consanant_Image,ETC,1,TRUE,1,0,0,0,0,0,Nothing,0,0,0,0,0,None,0,0,0
3,이름없는 검,,하지만 확실한 것은$ 함께 싸웠다는 것이다.,Sword,Weapon,1,FALSE,1,0,10,1,0,0,Nothing,0,1,0,0,0,None,0,0,0
4,천모자,,햇빛을 가리기에 훌륭한 방어구.,Cloth_Helmet_Image,Head,1,FALSE,1,0,0,2,0,0,Nothing,0,0,0.5,0,0,None,0,0,0
5,천갑옷,,땀을 흡수하기에 훌륭한 방어구.,Cloth_Top_Image,Top,1,FALSE,1,0,0,4,0,0,Nothing,0,0,1,0,0,None,0,0,0
6,천바지,,바람을 막기에 훌륭한 방어구.,Cloth_Bottom_Image,Bottom,1,FALSE,1,0,0,3,0,0,Nothing,0,0,0.5,0,0,None,0,0,0
7,천신발,,돌멩이을 피하기에 훌륭한 방어구.,Cloth_Shoes_Image,Shoes,1,FALSE,1,0,0,2,0,0,Nothing,0,0,0.5,0,0,None,0,0,0
8,횃불,,앞을 밝히는데도 좋고$ 떄리는데도 좋고.,Torch_Image,Weapon,1,FALSE,1,0,14,1,0,0,Fire,0,2,0,0,0,None,0,0,0
9,죽창,,너도 나도 공평하게.,Bamboo_Spear_Image,Weapon,1,FALSE,1,0,17,0,0,0,Grass,0,2,0,0,0,None,0,0,0
10,고드름,,앗$ 차가워!,Icicle_Image,Weapon,1,FALSE,1,0,14,0,0.1,0,Water,0,2,0,0,0,None,0,0,0
11,나무 스태프,마법 데미지 10% 증가,검을 든 자가 마법을 못쓴다는 것은$ 편견입니다.,WoodStaff_Image,Weapon,1,FALSE,1,0,8,0,0,0,Nothing,0,1,0,0,0,IncreaseMagicDamage,10,0,1
12,가죽모자,,땀이 차서 여름엔 불호인 방어구.,Leather_Helmet_Image,Head,2,FALSE,1,0,0,3,0,0,Nothing,0,0,1,0,0,None,0,0,0
13,가죽갑옷,,가죽 냄새가 납니다.,Leather_Top_Image,Top,2,FALSE,1,0,0,7,0,0,Nothing,0,0,1.5,0,0,None,0,0,0
14,가죽바지,,한물간 패션.,Leather_Bottom_Image,Bottom,2,FALSE,1,0,0,5,0,0,Nothing,0,0,1,0,0,None,0,0,0
